,hash,author,date,commit_message,is_merge,codebase_size,lines_changed,total_lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
310,7f57ad2ec61d830669eeb5e6393ce840436cd562,oz123,2014-07-27 07:12:03+00:00,"Restructure content and linechart templates

Add some documentation to LineChart",False,6367,103,18041,54,49,0.0,0.0,0.0
311,12c9e8828b2b8cf960ccf3870311085270c0a2b9,oz123,2014-07-27 07:21:19+00:00,"Add TemplateMix to discreteBarChart

Add template for stackedareachart",False,6345,50,18091,14,36,0.0,0.0,0.0
312,6cbe45771111a290fb2776b775dfb8eca4fb3dcc,oz123,2014-07-27 07:21:23+00:00,Add the TemplateMix to base chart module,False,6365,20,18111,20,0,1.0,1.0,1.0
313,0a6a71ce867a841f26c0c0ef66c990487e762c30,oz123,2014-07-27 07:27:05+00:00,Add mixin to CumulativeLineChart,False,6336,41,18152,6,35,0.0,0.0,0.0
314,d540be471aa14ff55c0443796b15aa8a4f994e43,oz123,2014-07-27 07:31:31+00:00,"Add TemplateMixin to linePlusBarChart

Clean all methods",False,6311,59,18211,17,42,0.0,0.0,0.0
315,47b0b03bed5089dcd6d6dd467b8d218395738c3b,oz123,2014-07-27 07:33:59+00:00,Add template mixin to LinePlusBarWithFocusChart,False,6290,57,18268,18,39,0.0,0.0,0.0
316,b4457449b014289579b8a8045b6245e7549d9415,oz123,2014-07-27 07:39:47+00:00,Add template mixin to LineWithFocusChart,False,6268,52,18320,15,37,0.0,0.0,0.0
317,8912b31101239aa0f9687a9cf71b2da2c8653eb0,oz123,2014-07-27 07:39:50+00:00,Add template mixin to MultiBarChart,False,6238,34,18354,2,32,0.0,0.0,0.0
318,d6eaf363ecfb226386e18018fef3f8491db2db75,oz123,2014-07-27 07:46:27+00:00,Added template Mixin to MultiBarHorizontalChart,False,6209,33,18387,2,31,0.0,0.0,0.0
319,b7c453cbcadb021bb3823c4525baddd9eda7d1d7,oz123,2014-07-27 07:48:27+00:00,Add template mixin to PieChart,False,6180,33,18420,2,31,0.0,0.0,0.0
320,bc3dcb566d3f697c96dc5e055115ca69bbb2beaf,oz123,2014-07-27 07:50:03+00:00,Add template mixin to ScatterChart,False,6154,42,18462,8,34,0.0,0.0,0.0
321,5cfbd528e4b4c486dc93f93d6eb9f571150bde19,oz123,2014-07-27 08:18:42+00:00,"Add StackedAreaChart

Add Working example of StackedAreaChart",False,6220,68,18530,67,1,0.0,1.0,1.0
322,87c83a536007ca5628c55a39e71c553aa3dc056f,oz123,2014-07-27 08:50:35+00:00,"Update build for travis, Makefile as setup.py",False,6232,30,18560,21,9,,,
323,f8bfc07af8a04f16631391c40f6bab5ecd4ce456,areski,2014-07-31 19:11:06+00:00,Add coverage reporting to travis and coveralls thanks to @oz123,False,6250,26,18586,22,4,,,
324,f1d41edfed2c7163ed3b319acdae798d47dce970,oz123,2014-08-04 19:48:01+00:00,"Remove old lineChart class, add LineChart and alias

From User's point of view no a difference",False,6206,52,18638,4,48,0.8888888888888888,0.0,0.0
325,5a56a9667664f4e6a5595f74798936eb8a56d66d,oz123,2014-08-04 19:48:01+00:00,"Remove old pieChart class, add PieChart and alias

From User's point of view no a difference",False,6175,37,18675,3,34,0.0,0.0,0.0
326,c7f6f1af2dc4301dc20ae28df0b7c360429c2956,oz123,2014-08-04 19:48:01+00:00,"Remove old lineWithFocusChart add LineWithFocusChart

Add alias, such that from user point of view there
is no difference",False,6150,33,18708,4,29,1.0,0.0,0.0
327,38996f42cec970d038a281be6fe639961cf986fc,oz123,2014-08-04 19:48:01+00:00,"Replace multiBarHorizontalChart with the new class

And add alias ...",False,6134,20,18728,2,18,0.0,0.0,0.0
328,467a283fc5122c76e9a083baac96a5b1a8c01f35,oz123,2014-08-04 19:48:01+00:00,Replace old with new class and alias,False,6114,26,18754,3,23,1.0,0.0,0.0
329,390a502b8761b16b67910a86609a7bc591ebb16b,oz123,2014-08-04 19:48:01+00:00,"Remove old class, add new class alias",False,6089,33,18787,4,29,1.0,0.0,0.0
330,e554192bc9166a5fbfb913b30a09b74a6d84983f,oz123,2014-08-04 19:48:01+00:00,Remove old cumulativeLineChart add alias for new class,False,6070,41,18828,11,30,1.0,0.0,0.0
331,08c1b429037ece180acb395bfa913cee483c72a7,oz123,2014-08-04 19:48:01+00:00,Replace old class scatterChart with alias to new class,False,6059,45,18873,17,28,0.0,0.0,0.0
332,a90ab03a3f579bce02385e5b6b55705e77a94f6b,oz123,2014-08-04 19:48:01+00:00,Replace old class with an alias to the new class,False,6024,41,18914,3,38,0.8571428571428571,0.0,0.0
333,56d09b1bdd94b760862366ab108fff7d967068e5,oz123,2014-08-04 19:48:01+00:00,Replace multiBarChart with alias to new class,False,6004,30,18944,5,25,1.0,0.0,0.0
334,2a423aad4546df46a2c04226cfc74e2b88c1690c,oz123,2014-08-04 19:48:01+00:00,"Remove old linePlusBarWithFocusChart and relace with alias

Also remove unused template",False,5932,80,19024,4,76,0.9166666666666666,0.0,0.0
335,70f924957dc5386863dce6f93e489b599a324c47,oz123,2014-08-04 19:48:01+00:00,"Add jinja Environment and template loader to NVD3Chart

Thus, there is no need to initialize the Environment and
Loader with every child class.",False,5881,85,19109,17,68,,,
336,3e560c16b28b5cd1fbd6b1303a24f95395299789,oz123,2014-08-04 19:48:01+00:00,"Replace FileSystemLoader with PackageLoader

This is more elegant. We can add FileSystemLoader
later when we allow users to customise their templates
more easily ...
Also removed unused imports",False,5879,20,19129,9,11,,,
337,1d8ee695135b7ad5efcb7ce130b568d61a7ef214,oz123,2014-08-04 19:48:02+00:00,Remove EVIL eval call !!!,False,5873,10,19139,2,8,0.0,0.0,0.0
338,11c37425fc9c3e32d26638de3fc0b3f55066dbbb,oz123,2014-08-05 08:28:57+00:00,Fix for issue #37,False,5868,95,19234,45,50,0.0,0.0,0.0
339,a1f4c3d93b51df29eb0f8efbc8e77ecf1be52148,oz123,2014-08-19 07:13:42+00:00,Fix issue #67,False,5870,8,19242,5,3,0.0,0.0,1.0
340,6a3cb3a0f8f0681765fc7370ac9d1a97a0ac48ff,areski,2014-09-22 12:06:51+00:00,Update to version v0.13.0,False,5870,2,19244,1,1,,,
341,aa72cdcd1749b57cc456e3d53c6615d81ececfe3,areski,2014-09-22 13:27:05+00:00,fix some bugs on class name and endif template,False,5846,132,19376,54,78,,,
342,d7011880e3d63cb055dc08a5eb3a7b9218b427ff,areski,2014-09-22 14:39:27+00:00,Update to version v0.13.1,False,5846,2,19378,1,1,,,
343,59c106a67092e6442d9ca632d4a251295a118f7b,areski,2014-09-22 15:40:39+00:00,change dependencies for python slugify,False,5846,12,19390,6,6,,,
344,4b5621603d6fcf9554ebe3b4a9a87408019589c9,areski,2014-09-22 15:40:47+00:00,Update to version v0.13.2,False,5846,2,19392,1,1,,,
345,e7b0164d50cb5d9704615eb34d8190bd8f3866b3,areski,2014-09-25 23:18:13+00:00,fix issue to install packages,False,5843,7,19399,2,5,0.0,0.0,0.0
346,499b55845edbdee6683f182f1f3f2b6d6ab33158,areski,2014-09-25 23:18:34+00:00,Update to version v0.13.3,False,5843,4,19403,2,2,,,
347,23291c3e160edcb11cd8c3bd83a65a27e2697231,areski,2014-11-13 12:02:45+00:00,Fix append series thanks to @jeffrl,False,5844,5,19408,3,2,,,
348,81c717d5d40450dc214ec3969d7b1c1339684f56,areski,2014-11-13 12:05:27+00:00,Update to version v0.13.4,False,5844,4,19412,2,2,,,
349,c9f5956fbec36650ca8796842cb8448fb530e633,areski,2014-11-13 12:12:16+00:00,Fix: color_list extra arguments is not mandatory on piechart,False,5845,13,19425,7,6,1.0,1.0,1.0
350,befa7503c54a6e64bb83d738abb2b71e218dca06,areski,2014-11-13 12:12:21+00:00,Update to version v0.13.5,False,5845,4,19429,2,2,,,
351,2e677886d7b36f3aca641bbb2cc1117c3589b849,areski,2014-11-13 12:44:59+00:00,Improve test coverage,False,5904,71,19500,65,6,0.4666666666666667,1.0,1.0
352,611fefb14626846441d79190cc286b72b67a6a35,Kyle Solan,2015-02-23 05:54:08+00:00,"Fixed ipynb.py

Changed return value of _print_html() from chart.container + chart.jschart to chart.htmlcontent, since chart.buildjschart() is no longer functional.",False,5903,5,19505,2,3,0.0,0.0,0.0
353,4ebd4bf733ac4a0a2015f6f82be700be8754eb8c,Anand Patil,2015-03-12 03:24:26+00:00,Sourcing JS assets over https when appropriate,False,5907,24,19529,14,10,0.5,0.0,1.0
354,b38b9ebcff765c4631666526d0235ceb5216de1d,Anand Patil,2015-03-12 03:30:10+00:00,Updated inline docs,False,5907,6,19535,3,3,,,
355,92ac3e37577724770b50eebd585bc946ca882969,Anand Patil,2015-03-12 03:43:07+00:00,Some small fixes.,False,5907,4,19539,2,2,,,
356,ae2dd8c6963c08446f0bf5c4ab94af34f535dc46,Anand Patil,2015-03-12 03:54:09+00:00,Missing global declaration,False,5908,1,19540,1,0,1.0,1.0,1.0
357,472b32862ac82273d632fcb0cd1c6e22ca09f240,Anand Patil,2015-03-12 04:05:30+00:00,Further fix for global scope issue,False,5908,2,19542,1,1,,,
358,a7368d5f7add11b74d473c0d638999fe8247d490,areski,2015-04-05 18:30:32+00:00,remove linePlusBarWithFocusChart as it's discontinued in nvd3>=1.7,False,5496,430,19972,9,421,1.0,0.0,0.0
359,d373d1a551148198ebc1117ef8b042314af75576,areski,2015-04-06 12:15:08+00:00,add support for focusEnable,False,5507,165,20137,88,77,0.0,0.0,1.0
360,e2ccc20a6fecee3cfdbc1dc3d3468331d99e6cdf,areski,2015-04-06 12:15:58+00:00,Update to version v0.13.6,False,5507,4,20141,2,2,,,
361,ce319eea5c83bed6d29612c506fb2b3962de07f6,areski,2015-04-06 14:35:25+00:00,remove examples/LineChart.py,False,5466,41,20182,0,41,,,
362,25cc5695b7e705b7f4303fd3549f852c73446b15,areski,2015-04-06 16:18:27+00:00,Create x2Axis if focus_enable,False,5477,11,20193,11,0,0.0,0.0,0.0
363,a35a95b8782ce52627adc20dbfa86547cde3f31d,areski,2015-04-06 16:18:52+00:00,Update to version v0.13.7,False,5477,4,20197,2,2,,,
364,fa59bc1b0ee41a52a98f0b015ea04443b7cc72f4,Teodor Yantcheff,2015-04-08 22:54:05+00:00,Added simplejson to imports,False,5479,4,20201,3,1,,,
365,a6b2677dd42e12a0e053c661fe6632e2692e2f99,Oz Nahum Tiram,2015-04-10 20:27:44+00:00,Fix requirements,False,5479,2,20203,1,1,,,
366,38ad77486e33d5bd5ac7c09610d6294987dfe98b,Oz Nahum Tiram,2015-04-10 20:32:07+00:00,"Update resouces

 This way users get demo work out of the box",False,5480,7,20210,4,3,,,
367,2860ed10bd7d59da429b75fe5e5a9f3abc2bedbe,Oz Nahum Tiram,2015-04-10 22:11:26+00:00,Fix help string,False,5480,4,20214,2,2,,,
368,7933c51f379a648fa32dd17de7427bbed66af786,areski,2015-04-12 09:41:48+00:00,fix scatterChart & demo_all,False,5478,44,20258,21,23,,,
369,916cddf3029d62a9a6c407e6b4af2d95f85ea821,areski,2015-04-12 10:17:39+00:00,Update to version v0.13.8,False,5484,10,20268,8,2,,,
370,a3091a166f13663b3bfe8ff9a317801ed2720023,Oz Nahum Tiram,2015-04-13 17:59:27+00:00,Fix entry point for console scripts,False,5484,2,20270,1,1,,,
371,4a92fddc4a932e278a71f99eb1daac43dc484eb7,Oz Nahum Tiram,2015-04-13 18:03:10+00:00,Fix broken links for css and js resources,False,5484,22,20292,11,11,,,
372,bc2b175d9115aacf6203eba9eedef3ea808ed253,Oz Nahum Tiram,2015-04-13 18:03:17+00:00,pep8ify,False,5490,18,20310,12,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
373,27f795b2b26f713204768ec7d0e71695bc93abfb,Oz Nahum Tiram,2015-05-03 08:19:42+00:00,pep8,False,5490,8,20318,4,4,,,
